name,country,iata,icao,timezone_pytz,state
Lackland Air Force Base,United States,SKF,KSKF,America/Chicago,Texas
Daniel K Inouye International Airport,United States,HNL,PHNL,Pacific/Honolulu,Hawaii
Des Moines International Airport,United States,DSM,KDSM,America/Chicago,Iowa
Coastal Carolina Regional Airport,United States,EWN,KEWN,America/New_York,North Carolina
San Diego International Airport,United States,SAN,KSAN,America/Los_Angeles,California
Monroe Regional Airport,United States,MLU,KMLU,America/Chicago,Louisiana
Shaw Air Force Base,United States,SSC,KSSC,America/New_York,South Carolina
Ontario International Airport,United States,ONT,KONT,America/Los_Angeles,California
Majors Airport,United States,GVT,KGVT,America/Chicago,Texas
Roswell International Air Center Airport,United States,ROW,KROW,America/Denver,New Mexico
Coleman A. Young Municipal Airport,United States,DET,KDET,America/New_York,Michigan
Brownsville South Padre Island International Airport,United States,BRO,KBRO,America/Chicago,Texas
Dothan Regional Airport,United States,DHN,KDHN,America/Chicago,Alabama
Cape May County Airport,United States,WWD,KWWD,America/New_York,New Jersey
Fallon Naval Air Station,United States,NFL,KNFL,America/Los_Angeles,Nevada
Selfridge Air National Guard Base Airport,United States,MTC,KMTC,America/New_York,Michigan
Four Corners Regional Airport,United States,FMN,KFMN,America/Denver,New Mexico
Corpus Christi International Airport,United States,CRP,KCRP,America/Chicago,Texas
Syracuse Hancock International Airport,United States,SYR,KSYR,America/New_York,New York
Naval Air Station Key West/Boca Chica Field,United States,NQX,KNQX,America/New_York,Florida
Chicago Midway International Airport,United States,MDW,KMDW,America/Chicago,Illinois
Norman Y. Mineta San Jose International Airport,United States,SJC,KSJC,America/Los_Angeles,California
Lea County Regional Airport,United States,HOB,KHOB,America/Denver,New Mexico
Northeast Philadelphia Airport,United States,PNE,KPNE,America/New_York,Pennsylvania
Denver International Airport,United States,DEN,KDEN,America/Denver,Colorado
Philadelphia International Airport,United States,PHL,KPHL,America/New_York,New Jersey
Sioux Gateway Col. Bud Day Field,United States,SUX,KSUX,America/Chicago,Iowa
Middle Georgia Regional Airport,United States,MCN,KMCN,America/New_York,Georgia
Truth Or Consequences Municipal Airport,United States,TCS,KTCS,America/Denver,New Mexico
Palmdale Regional/USAF Plant 42 Airport,United States,PMD,KPMD,America/Los_Angeles,California
Randolph Air Force Base,United States,RND,KRND,America/Chicago,Texas
El Centro NAF Airport (Vraciu Field),United States,NJK,KNJK,America/Los_Angeles,California
John Glenn Columbus International Airport,United States,CMH,KCMH,America/New_York,Ohio
Drake Field,United States,FYV,KFYV,America/Chicago,Arkansas
Henry Post Army Air Field (Fort Sill),United States,FSI,KFSI,America/Chicago,Oklahoma
Wright-Patterson Air Force Base,United States,FFO,KFFO,America/New_York,Ohio
Edward G. Pitka Sr Airport,United States,GAL,PAGA,America/Anchorage,Alaska
Mineral Wells Airport,United States,MWL,KMWL,America/Chicago,Texas
Mc Connell Air Force Base,United States,IAB,KIAB,America/Chicago,Kansas
New Orleans NAS JRB/Alvin Callender Field,United States,NBG,KNBG,America/Chicago,Louisiana
Beaufort County Airport,United States,BFT,KARW,America/New_York,South Carolina
Texarkana Regional Webb Field,United States,TXK,KTXK,America/Chicago,Arkansas
Plattsburgh International Airport,United States,PBG,KPBG,America/New_York,New York
Phillips Army Air Field,United States,APG,KAPG,America/New_York,Maryland
Tucumcari Municipal Airport,United States,TCC,KTCC,America/Denver,New Mexico
Ted Stevens Anchorage International Airport,United States,ANC,PANC,America/Anchorage,Alaska
Robert Gray  Army Air Field Airport,United States,GRK,KGRK,America/Chicago,Texas
Bellingham International Airport,United States,BLI,KBLI,America/Los_Angeles,Washington
Millington-Memphis Airport,United States,NQA,KNQA,America/Chicago,Tennessee
Elkins-Randolph Co-Jennings Randolph Field,United States,EKN,KEKN,America/New_York,West Virginia
Hartford Brainard Airport,United States,HFD,KHFD,America/New_York,Connecticut
North Central State Airport,United States,SFZ,KSFZ,America/New_York,Rhode Island
Mobile Regional Airport,United States,MOB,KMOB,America/Chicago,Alabama
Moffett Federal Airfield,United States,NUQ,KNUQ,America/Los_Angeles,California
Santa Fe Municipal Airport,United States,SAF,KSAF,America/Denver,New Mexico
Barking Sands Airport,United States,BKH,PHBK,Pacific/Honolulu,Hawaii
Beauregard Regional Airport,United States,DRI,KDRI,America/Chicago,Louisiana
Bradshaw Army Airfield,United States,BSF,PHSF,Pacific/Honolulu,Hawaii
Nogales International Airport,United States,OLS,KOLS,America/Phoenix,Arizona
Mac Dill Air Force Base,United States,MCF,KMCF,America/New_York,Florida
Scott AFB/Midamerica Airport,United States,BLV,KBLV,America/Chicago,Illinois
Opa-locka Executive Airport,United States,OPF,KOPF,America/New_York,Florida
Del Rio International Airport,United States,DRT,KDRT,America/Chicago,Texas
Southwest Florida International Airport,United States,RSW,KRSW,America/New_York,Florida
King Salmon Airport,United States,AKN,PAKN,America/Anchorage,Alaska
