name,country,iata,icao,timezone_pytz,state
Northern Maine Regional Airport at Presque Isle,United States,PQI,KPQI,America/New_York,Maine
Kodiak Airport,United States,ADQ,PADQ,America/Anchorage,Alaska
Fort Lauderdale Hollywood International Airport,United States,FLL,KFLL,America/New_York,Florida
Salt Lake City International Airport,United States,SLC,KSLC,America/Denver,Utah
Harrisburg International Airport,United States,MDT,KMDT,America/New_York,Pennsylvania
Lincoln Airport,United States,LNK,KLNK,America/Chicago,Nebraska
Capital City Airport,United States,LAN,KLAN,America/New_York,Michigan
George Bush Intercontinental Houston Airport,United States,IAH,KIAH,America/Chicago,Texas
Meadows Field,United States,BFL,KBFL,America/Los_Angeles,California
El Paso International Airport,United States,ELP,KELP,America/Denver,Texas
Valley International Airport,United States,HRL,KHRL,America/Chicago,Texas
Columbia Metropolitan Airport,United States,CAE,KCAE,America/New_York,South Carolina
Pensacola Regional Airport,United States,PNS,KPNS,America/Chicago,Florida
William P Hobby Airport,United States,HOU,KHOU,America/Chicago,Texas
Pittsburgh International Airport,United States,PIT,KPIT,America/New_York,Pennsylvania
Wiley Post Will Rogers Memorial Airport,United States,BRW,PABR,America/Anchorage,Alaska
Miami International Airport,United States,MIA,KMIA,America/New_York,Florida
Seattle Tacoma International Airport,United States,SEA,KSEA,America/Los_Angeles,Washington
Lovell Field,United States,CHA,KCHA,America/New_York,Tennessee
Jackson-Medgar Wiley Evers International Airport,United States,JAN,KJAN,America/Chicago,Mississippi
Long Beach /Daugherty Field/ Airport,United States,LGB,KLGB,America/Los_Angeles,California
Williamsport Regional Airport,United States,IPT,KIPT,America/New_York,Pennsylvania
Indianapolis International Airport,United States,IND,KIND,America/New_York,Indiana
Westchester County Airport,United States,HPN,KHPN,America/New_York,New York
Yuma MCAS/Yuma International Airport,United States,YUM,KNYL,America/Phoenix,Arizona
Duluth International Airport,United States,DLH,KDLH,America/Chicago,Minnesota
Bethel Airport,United States,BET,PABE,America/Anchorage,Alaska
Lihue Airport,United States,LIH,PHLI,Pacific/Honolulu,Hawaii
Richmond International Airport,United States,RIC,KRIC,America/New_York,Virginia
Shreveport Regional Airport,United States,SHV,KSHV,America/Chicago,Louisiana
Merle K (Mudhole) Smith Airport,United States,CDV,PACV,America/Anchorage,Alaska
Norfolk International Airport,United States,ORF,KORF,America/New_York,Virginia
Southeast Texas Regional Airport,United States,BPT,KBPT,America/Chicago,Texas
Savannah Hilton Head International Airport,United States,SAV,KSAV,America/New_York,Georgia
Nome Airport,United States,OME,PAOM,America/Anchorage,Alaska
St Petersburg Clearwater International Airport,United States,PIE,KPIE,America/New_York,Florida
Deadhorse Airport,United States,SCC,PASC,America/Anchorage,Alaska
San Antonio International Airport,United States,SAT,KSAT,America/Chicago,Texas
Greater Rochester International Airport,United States,ROC,KROC,America/New_York,New York
Raleigh Durham International Airport,United States,RDU,KRDU,America/New_York,North Carolina
James M Cox Dayton International Airport,United States,DAY,KDAY,America/New_York,Ohio
Kenai Municipal Airport,United States,ENA,PAEN,America/Anchorage,Alaska
Niagara Falls International Airport,United States,IAG,KIAG,America/New_York,New York
Newport News Williamsburg International Airport,United States,PHF,KPHF,America/New_York,Virginia
Tucson International Airport,United States,TUS,KTUS,America/Phoenix,Arizona
Theodore Francis Green State Airport,United States,PVD,KPVD,America/New_York,Rhode Island
Salisbury Ocean City Wicomico Regional Airport,United States,SBY,KSBY,America/New_York,Maryland
Bob Hope Airport,United States,BUR,KBUR,America/Los_Angeles,California
Detroit Metropolitan Wayne County Airport,United States,DTW,KDTW,America/New_York,Michigan
Tampa International Airport,United States,TPA,KTPA,America/New_York,Florida
Range Regional Airport,United States,HIB,KHIB,America/Chicago,Minnesota
Midland International Airport,United States,MAF,KMAF,America/Chicago,Texas
Austin Straubel International Airport,United States,GRB,KGRB,America/Chicago,Wisconsin
Augusta Regional At Bush Field,United States,AGS,KAGS,America/New_York,Georgia
Bill & Hillary Clinton National Airport/Adams Field,United States,LIT,KLIT,America/Chicago,Arkansas
Stewart International Airport,United States,SWF,KSWF,America/New_York,New York
Homer Airport,United States,HOM,PAHO,America/Anchorage,Alaska
Dallas Fort Worth International Airport,United States,DFW,KDFW,America/Chicago,Texas
Melbourne International Airport,United States,MLB,KMLB,America/New_York,Florida
Austin Bergstrom International Airport,United States,AUS,KAUS,America/Chicago,Texas
Rickenbacker International Airport,United States,LCK,KLCK,America/New_York,Ohio
Sawyer International Airport,United States,MQT,KSAW,America/New_York,Michigan
McGhee Tyson Airport,United States,TYS,KTYS,America/New_York,Tennessee
St Louis Lambert International Airport,United States,STL,KSTL,America/Chicago,Missouri
Sheppard Air Force Base-Wichita Falls Municipal Airport,United States,SPS,KSPS,America/Chicago,Texas
Cincinnati Municipal Airport Lunken Field,United States,LUK,KLUK,America/New_York,Ohio
Hartsfield Jackson Atlanta International Airport,United States,ATL,KATL,America/New_York,Georgia
Gerald R. Ford International Airport,United States,GRR,KGRR,America/New_York,Michigan
Fresno Yosemite International Airport,United States,FAT,KFAT,America/Los_Angeles,California
Nashville International Airport,United States,BNA,KBNA,America/Chicago,Tennessee
Laredo International Airport,United States,LRD,KLRD,America/Chicago,Texas
Ralph Wien Memorial Airport,United States,OTZ,PAOT,America/Anchorage,Alaska
La Guardia Airport,United States,LGA,KLGA,America/New_York,New York
Tallahassee Regional Airport,United States,TLH,KTLH,America/New_York,Florida
Waco Regional Airport,United States,ACT,KACT,America/Chicago,Texas
Molokai Airport,United States,MKK,PHMK,Pacific/Honolulu,Hawaii
San Angelo Regional Mathis Field,United States,SJT,KSJT,America/Chicago,Texas
Burlington International Airport,United States,BTV,KBTV,America/New_York,Vermont
Jacksonville International Airport,United States,JAX,KJAX,America/New_York,Florida
Durango La Plata County Airport,United States,DRO,KDRO,America/Denver,Colorado
Washington Dulles International Airport,United States,IAD,KIAD,America/New_York,Virginia
Easterwood Field,United States,CLL,KCLL,America/Chicago,Texas
General Mitchell International Airport,United States,MKE,KMKE,America/Chicago,Wisconsin
Abilene Regional Airport,United States,ABI,KABI,America/Chicago,Texas
Columbia Regional Airport,United States,COU,KCOU,America/Chicago,Missouri
Portland International Airport,United States,PDX,KPDX,America/Los_Angeles,Washington
Palm Beach International Airport,United States,PBI,KPBI,America/New_York,Florida
Boeing Field King County International Airport,United States,BFI,KBFI,America/Los_Angeles,Washington
Daniel K Inouye International Airport,United States,HNL,PHNL,Pacific/Honolulu,Hawaii
Des Moines International Airport,United States,DSM,KDSM,America/Chicago,Iowa
Coastal Carolina Regional Airport,United States,EWN,KEWN,America/New_York,North Carolina
San Diego International Airport,United States,SAN,KSAN,America/Los_Angeles,California
Monroe Regional Airport,United States,MLU,KMLU,America/Chicago,Louisiana
Ontario International Airport,United States,ONT,KONT,America/Los_Angeles,California
Roswell International Air Center Airport,United States,ROW,KROW,America/Denver,New Mexico
Brownsville South Padre Island International Airport,United States,BRO,KBRO,America/Chicago,Texas
Dothan Regional Airport,United States,DHN,KDHN,America/Chicago,Alabama
Corpus Christi International Airport,United States,CRP,KCRP,America/Chicago,Texas
Syracuse Hancock International Airport,United States,SYR,KSYR,America/New_York,New York
Chicago Midway International Airport,United States,MDW,KMDW,America/Chicago,Illinois
Norman Y. Mineta San Jose International Airport,United States,SJC,KSJC,America/Los_Angeles,California
Lea County Regional Airport,United States,HOB,KHOB,America/Denver,New Mexico
Denver International Airport,United States,DEN,KDEN,America/Denver,Colorado
Philadelphia International Airport,United States,PHL,KPHL,America/New_York,New Jersey
Sioux Gateway Col. Bud Day Field,United States,SUX,KSUX,America/Chicago,Iowa
John Glenn Columbus International Airport,United States,CMH,KCMH,America/New_York,Ohio
Edward G. Pitka Sr Airport,United States,GAL,PAGA,America/Anchorage,Alaska
Texarkana Regional Webb Field,United States,TXK,KTXK,America/Chicago,Arkansas
Plattsburgh International Airport,United States,PBG,KPBG,America/New_York,New York
Ted Stevens Anchorage International Airport,United States,ANC,PANC,America/Anchorage,Alaska
Robert Gray  Army Air Field Airport,United States,GRK,KGRK,America/Chicago,Texas
Bellingham International Airport,United States,BLI,KBLI,America/Los_Angeles,Washington
Mobile Regional Airport,United States,MOB,KMOB,America/Chicago,Alabama
Santa Fe Municipal Airport,United States,SAF,KSAF,America/Denver,New Mexico
Scott AFB/Midamerica Airport,United States,BLV,KBLV,America/Chicago,Illinois
Southwest Florida International Airport,United States,RSW,KRSW,America/New_York,Florida
King Salmon Airport,United States,AKN,PAKN,America/Anchorage,Alaska
John F Kennedy International Airport,United States,JFK,KJFK,America/New_York,New York
Stockton Metropolitan Airport,United States,SCK,KSCK,America/Los_Angeles,California
Charleston Air Force Base-International Airport,United States,CHS,KCHS,America/New_York,South Carolina
Reno Tahoe International Airport,United States,RNO,KRNO,America/Los_Angeles,Nevada
Ketchikan International Airport,United States,KTN,PAKT,America/Anchorage,Alaska
Birmingham-Shuttlesworth International Airport,United States,BHM,KBHM,America/Chicago,Alabama
Sacramento International Airport,United States,SMF,KSMF,America/Los_Angeles,California
City of Colorado Springs Municipal Airport,United States,COS,KCOS,America/Denver,Colorado
Buffalo Niagara International Airport,United States,BUF,KBUF,America/New_York,New York
Cedar City Regional Airport,United States,CDC,KCDC,America/Denver,Utah
Bradley International Airport,United States,BDL,KBDL,America/New_York,Connecticut
Mc Allen Miller International Airport,United States,MFE,KMFE,America/Chicago,Texas
Lubbock Preston Smith International Airport,United States,LBB,KLBB,America/Chicago,Texas
Chicago O'Hare International Airport,United States,ORD,KORD,America/Chicago,Illinois
Fairbanks International Airport,United States,FAI,PAFA,America/Anchorage,Alaska
Watertown International Airport,United States,ART,KART,America/New_York,New York
Palm Springs International Airport,United States,PSP,KPSP,America/Los_Angeles,California
Rick Husband Amarillo International Airport,United States,AMA,KAMA,America/Chicago,Texas
Topeka Regional Airport - Forbes Field,United States,FOE,KFOE,America/Chicago,Kansas
Wilmington International Airport,United States,ILM,KILM,America/New_York,North Carolina
Baton Rouge Metropolitan Airport,United States,BTR,KBTR,America/Chicago,Louisiana
Tyler Pounds Regional Airport,United States,TYR,KTYR,America/Chicago,Texas
Baltimore/Washington International Thurgood Marshall Airport,United States,BWI,KBWI,America/New_York,Maryland
Lanai Airport,United States,LNY,PHNY,Pacific/Honolulu,Hawaii
Alexandria International Airport,United States,AEX,KAEX,America/Chicago,Louisiana
Tulsa International Airport,United States,TUL,KTUL,America/Chicago,Oklahoma
Sitka Rocky Gutierrez Airport,United States,SIT,PASI,America/Anchorage,Alaska
Long Island Mac Arthur Airport,United States,ISP,KISP,America/New_York,New York
Minneapolis-St Paul International/Wold-Chamberlain Airport,United States,MSP,KMSP,America/Chicago,Minnesota
New Castle Airport,United States,ILG,KILG,America/New_York,Delaware
Unalaska Airport,United States,DUT,PADU,America/Anchorage,Alaska
Louis Armstrong New Orleans International Airport,United States,MSY,KMSY,America/Chicago,Louisiana
Portland International Jetport Airport,United States,PWM,KPWM,America/New_York,Maine
Will Rogers World Airport,United States,OKC,KOKC,America/Chicago,Oklahoma
Albany International Airport,United States,ALB,KALB,America/New_York,New York
Valdez Pioneer Field,United States,VDZ,PAVD,America/Anchorage,Alaska
John Wayne Airport-Orange County Airport,United States,SNA,KSNA,America/Los_Angeles,California
